State,Population (M),Adult Pop (M),Activity Index,Industry Total MAU,Industry Active Traders,Industry MAU Penetration (%),Industry Trader Penetration (%),DraftKings MAU,DraftKings Traders,DraftKings MAU Penetration (%),DraftKings Trader Penetration (%)
New York,19.5,12.68,100,3042750,1521375,24.01,12.0,851970,425985,6.72,3.36
New Jersey,9.3,6.04,65,1977787,988893,32.72,16.36,553780,276890,9.16,4.58
Illinois,12.5,8.12,60,1825650,912825,22.47,11.23,511182,255591,6.29,3.15
Pennsylvania,13.0,8.45,50,1521375,760687,18.0,9.0,425985,212992,5.04,2.52
Ohio,11.8,7.67,45,1369237,684618,17.85,8.93,383386,191693,5.0,2.5
Nevada,3.2,2.08,45,1369237,684618,65.83,32.91,383386,191693,18.43,9.22
Michigan,10.0,6.5,40,1217100,608550,18.72,9.36,340788,170394,5.24,2.62
Virginia,8.7,5.66,35,1064962,532481,18.83,9.42,298189,149094,5.27,2.64
Arizona,7.4,4.81,35,1064962,532481,22.14,11.07,298189,149094,6.2,3.1
Tennessee,7.1,4.62,32,973680,486840,21.1,10.55,272630,136315,5.91,2.95
Massachusetts,7.0,4.55,30,912825,456412,20.06,10.03,255591,127795,5.62,2.81
North Carolina,11.1,7.21,28,851970,425985,11.81,5.9,238551,119275,3.31,1.65
Indiana,6.9,4.49,28,851970,425985,19.0,9.5,238551,119275,5.32,2.66
Missouri,6.2,4.03,28,851970,425985,21.14,10.57,238551,119275,5.92,2.96
Maryland,6.2,4.03,25,760687,380343,18.88,9.44,212992,106496,5.29,2.64
Colorado,5.9,3.83,25,760687,380343,19.84,9.92,212992,106496,5.55,2.78
Washington,7.8,5.07,25,760687,380343,15.0,7.5,212992,106496,4.2,2.1
Connecticut,3.6,2.34,22,669405,334702,28.61,14.3,187433,93716,8.01,4.0
Wisconsin,5.9,3.83,22,669405,334702,17.46,8.73,187433,93716,4.89,2.44
Louisiana,4.6,2.99,20,608550,304275,20.35,10.18,170394,85197,5.7,2.85
Oregon,4.2,2.73,20,608550,304275,22.29,11.15,170394,85197,6.24,3.12
Kentucky,4.5,2.92,18,547695,273847,18.72,9.36,153354,76677,5.24,2.62
Iowa,3.2,2.08,18,547695,273847,26.33,13.17,153354,76677,7.37,3.69
Kansas,3.0,1.95,15,456412,228206,23.41,11.7,127795,63897,6.55,3.28
Arkansas,3.1,2.02,12,365130,182565,18.12,9.06,102236,51118,5.07,2.54
Rhode Island,1.1,0.71,12,365130,182565,51.07,25.53,102236,51118,14.3,7.15
New Hampshire,1.4,0.91,12,365130,182565,40.12,20.06,102236,51118,11.23,5.62
West Virginia,1.8,1.17,10,304275,152137,26.01,13.0,85197,42598,7.28,3.64
Delaware,1.0,0.65,10,304275,152137,46.81,23.41,85197,42598,13.11,6.55
Maine,1.4,0.91,10,304275,152137,33.44,16.72,85197,42598,9.36,4.68
New Mexico,2.1,1.36,10,304275,152137,22.29,11.15,85197,42598,6.24,3.12
Montana,1.1,0.71,8,243420,121710,34.04,17.02,68157,34078,9.53,4.77
South Dakota,0.9,0.58,7,212992,106496,36.41,18.2,59637,29818,10.19,5.1
North Dakota,0.8,0.52,6,182565,91282,35.11,17.55,51118,25559,9.83,4.92
Vermont,0.65,0.42,6,182565,91282,43.21,21.61,51118,25559,12.1,6.05
Wyoming,0.59,0.38,5,152137,76068,39.67,19.84,42598,21299,11.11,5.55
